Date,Close,Volume,Open,High,Low
12/28/2018,$316.38,3723516,$319.74,$321.53,$315.15
12/27/2018,$317.14,4274032,$309.04,$317.14,$302.24
12/26/2018,$313.93,4708122,$298.61,$314.0899,$292.4704
12/24/2018,$294.16,3435304,$300.65,$303.00,$294.16
12/21/2018,$304.55,7636934,$309.09,$314.97,$304.01
12/20/2018,$313.05,5324626,$317.00,$321.821,$308.00
12/19/2018,$319.55,4756365,$329.33,$333.48,$316.10
12/18/2018,$328.06,5858387,$325.46,$332.0899,$323.20
12/17/2018,$316.13,4933460,$316.91,$327.2162,$314.44
12/14/2018,$318.75,3296349,$322.45,$323.91,$315.56
12/13/2018,$325.47,2246510,$328.40,$328.74,$324.173
12/12/2018,$326.69,3420076,$327.38,$331.90,$324.66
12/11/2018,$322.03,3563031,$333.25,$334.49,$318.7518
12/10/2018,$326.35,4393555,$321.27,$327.20,$315.51
12/07/2018,$323.22,4523389,$332.35,$337.61,$321.39
12/06/2018,$331.90,9280864,$329.99,$333.63,$317.30
12/04/2018,$342.50,5161201,$357.00,$358.32,$341.74
12/03/2018,$359.96,6565850,$364.31,$369.00,$356.37
11/30/2018,$346.76,5368384,$341.94,$347.58,$337.50
11/29/2018,$342.56,5294802,$335.97,$343.23,$334.06
11/28/2018,$333.50,6113542,$325.72,$334.01,$321.73
11/27/2018,$318.03,2944011,$315.28,$318.56,$310.96
11/26/2018,$316.36,3359172,$315.56,$318.59,$310.66
11/23/2018,$312.32,1599381,$315.00,$317.00,$311.871
11/21/2018,$317.32,4400415,$325.07,$326.889,$315.565
11/20/2018,$317.70,6874179,$302.10,$322.18,$296.61
11/19/2018,$320.94,6773700,$335.55,$336.04,$317.20
11/16/2018,$335.95,4423555,$339.00,$340.1904,$331.16
11/15/2018,$341.57,4860840,$341.12,$347.98,$336.51
11/14/2018,$344.72,3436851,$352.09,$355.85,$343.89
11/13/2018,$349.51,4957369,$349.55,$355.38,$342.04
11/12/2018,$357.03,3083225,$370.21,$370.48,$355.99
11/09/2018,$369.34,2589722,$367.83,$371.00,$366.12
11/08/2018,$370.77,2751690,$369.33,$373.70,$365.55
11/07/2018,$372.02,4012751,$367.64,$372.85,$359.50
11/06/2018,$366.47,2467243,$362.41,$368.44,$362.11
11/05/2018,$361.98,2253210,$359.76,$363.29,$356.48
11/02/2018,$357.75,4026435,$366.97,$371.54,$356.76
11/01/2018,$363.07,3754038,$357.47,$364.57,$353.20
10/31/2018,$354.86,4173650,$352.51,$363.405,$352.51
10/30/2018,$349.91,5767452,$330.35,$351.05,$329.7746
10/29/2018,$335.59,7449486,$360.55,$361.71,$328.63
10/26/2018,$359.27,4067590,$360.70,$363.30,$354.1207
